ID,DATE,MARQUE,CATEGORIE,THEME,OBJET,CREA_CAPTURE,VERSION_ENLIGNE
86,10/11/2016,Christiansen-Gusikowski,Engineering,MPBN,Face to face object-oriented solution,http://dummyimage.com/400x600.png/cc0000/ffffff,http://patch.com/scelerisque/quam/turpis/adipiscing.xml?pellentesque=nibh&at=in&nulla=quis&suspendisse=justo&potenti=maecenas&cras=rhoncus&in=aliquam&purus=lacus&eu=morbi&magna=quis&vulputate=tortor&luctus=id&cum=nulla&sociis=ultrices&natoque=aliquet&penatibus=maecenas&et=leo&magnis=odio&dis=condimentum&parturient=id&montes=luctus&nascetur=nec&ridiculus=molestie&mus=sed&vivamus=justo&vestibulum=pellentesque&sagittis=viverra&sapien=pede&cum=ac&sociis=diam&natoque=cras&penatibus=pellentesque&et=volutpat&magnis=dui&dis=maecenas&parturient=tristique&montes=est&nascetur=et&ridiculus=tempus&mus=semper&etiam=est&vel=quam&augue=pharetra&vestibulum=magna&rutrum=ac&rutrum=consequat&neque=metus&aenean=sapien&auctor=ut&gravida=nunc&sem=vestibulum&praesent=ante&id=ipsum
87,19/06/2016,"Tillman, Hansen and Upton",Product Management,Railway,Public-key methodical productivity,http://dummyimage.com/400x600.png/ff4444/ffffff,http://vk.com/massa/volutpat/convallis/morbi/odio/odio/elementum.js?lorem=curae&id=donec&ligula=pharetra&suspendisse=magna&ornare=vestibulum&consequat=aliquet&lectus=ultrices&in=erat&est=tortor&risus=sollicitudin&auctor=mi&sed=sit&tristique=amet&in=lobortis&tempus=sapien&sit=sapien&amet=non&sem=mi&fusce=integer&consequat=ac&nulla=neque&nisl=duis&nunc=bibendum&nisl=morbi&duis=non&bibendum=quam&felis=nec&sed=dui&interdum=luctus&venenatis=rutrum
88,06/11/2016,Barton LLC,Services,MPR,Open-architected content-based core,http://dummyimage.com/400x600.png/dddddd/000000,https://soup.io/justo.jpg?felis=eu&sed=orci&interdum=mauris&venenatis=lacinia&turpis=sapien&enim=quis&blandit=libero&mi=nullam&in=sit&porttitor=amet&pede=turpis&justo=elementum&eu=ligula&massa=vehicula&donec=consequat&dapibus=morbi&duis=a&at=ipsum&velit=integer&eu=a&est=nibh&congue=in&elementum=quis&in=justo&hac=maecenas&habitasse=rhoncus&platea=aliquam&dictumst=lacus&morbi=morbi&vestibulum=quis&velit=tortor&id=id&pretium=nulla&iaculis=ultrices&diam=aliquet&erat=maecenas&fermentum=leo&justo=odio&nec=condimentum&condimentum=id&neque=luctus&sapien=nec&placerat=molestie&ante=sed&nulla=justo&justo=pellentesque&aliquam=viverra&quis=pede&turpis=ac&eget=diam&elit=cras&sodales=pellentesque&scelerisque=volutpat&mauris=dui&sit=maecenas&amet=tristique&eros=est&suspendisse=et&accumsan=tempus&tortor=semper&quis=est&turpis=quam&sed=pharetra&ante=magna&vivamus=ac&tortor=consequat&duis=metus&mattis=sapien&egestas=ut&metus=nunc&aenean=vestibulum&fermentum=ante&donec=ipsum&ut=primis&mauris=in&eget=faucibus&massa=orci&tempor=luctus&convallis=et&nulla=ultrices&neque=posuere&libero=cubilia&convallis=curae
89,22/12/2016,Sipes-Beatty,Accounting,QC Tools,Future-proofed actuating protocol,http://dummyimage.com/400x600.png/5fa2dd/ffffff,http://studiopress.com/enim/in/tempor/turpis/nec.aspx?tristique=sit&est=amet&et=diam&tempus=in&semper=magna&est=bibendum&quam=imperdiet&pharetra=nullam&magna=orci&ac=pede&consequat=venenatis&metus=non&sapien=sodales&ut=sed&nunc=tincidunt&vestibulum=eu&ante=felis&ipsum=fusce&primis=posuere&in=felis&faucibus=sed&orci=lacus&luctus=morbi&et=sem&ultrices=mauris&posuere=laoreet&cubilia=ut&curae=rhoncus&mauris=aliquet&viverra=pulvinar&diam=sed&vitae=nisl&quam=nunc&suspendisse=rhoncus&potenti=dui&nullam=vel&porttitor=sem&lacus=sed&at=sagittis&turpis=nam&donec=congue&posuere=risus&metus=semper&vitae=porta&ipsum=volutpat&aliquam=quam&non=pede&mauris=lobortis&morbi=ligula&non=sit&lectus=amet&aliquam=eleifend&sit=pede&amet=libero&diam=quis&in=orci&magna=nullam&bibendum=molestie&imperdiet=nibh&nullam=in&orci=lectus&pede=pellentesque&venenatis=at
90,10/06/2016,"Dietrich, Lakin and Kozey",Services,Grief Counseling,Intuitive homogeneous hub,http://dummyimage.com/400x600.png/5fa2dd/ffffff,https://alexa.com/fermentum/donec/ut.json?id=sit&luctus=amet&nec=erat&molestie=nulla&sed=tempus&justo=vivamus&pellentesque=in&viverra=felis&pede=eu&ac=sapien&diam=cursus&cras=vestibulum&pellentesque=proin&volutpat=eu&dui=mi&maecenas=nulla&tristique=ac&est=enim&et=in&tempus=tempor&semper=turpis&est=nec&quam=euismod&pharetra=scelerisque&magna=quam&ac=turpis&consequat=adipiscing&metus=lorem&sapien=vitae&ut=mattis&nunc=nibh&vestibulum=ligula&ante=nec&ipsum=sem&primis=duis&in=aliquam&faucibus=convallis&orci=nunc&luctus=proin&et=at&ultrices=turpis
91,09/08/2016,Wyman-Emmerich,Training,Novels,Business-focused human-resource superstructure,http://dummyimage.com/400x600.png/ff4444/ffffff,https://yale.edu/luctus/tincidunt/nulla/mollis/molestie.js?ornare=eget&imperdiet=rutrum&sapien=at&urna=lorem&pretium=integer&nisl=tincidunt&ut=ante&volutpat=vel&sapien=ipsum&arcu=praesent&sed=blandit&augue=lacinia&aliquam=erat&erat=vestibulum&volutpat=sed&in=magna&congue=at&etiam=nunc&justo=commodo&etiam=placerat&pretium=praesent&iaculis=blandit&justo=nam&in=nulla&hac=integer&habitasse=pede&platea=justo&dictumst=lacinia&etiam=eget&faucibus=tincidunt&cursus=eget&urna=tempus&ut=vel&tellus=pede&nulla=morbi&ut=porttitor&erat=lorem&id=id&mauris=ligula&vulputate=suspendisse&elementum=ornare&nullam=consequat&varius=lectus&nulla=in&facilisi=est&cras=risus&non=auctor&velit=sed&nec=tristique&nisi=in&vulputate=tempus&nonummy=sit&maecenas=amet&tincidunt=sem&lacus=fusce&at=consequat&velit=nulla&vivamus=nisl&vel=nunc&nulla=nisl&eget=duis&eros=bibendum
92,30/12/2016,"Rath, Oberbrunner and Watsica",Sales,DNS,Progressive demand-driven approach,http://dummyimage.com/400x600.png/dddddd/000000,https://apache.org/nascetur/ridiculus/mus/vivamus/vestibulum.png?luctus=ut&rutrum=erat&nulla=id&tellus=mauris&in=vulputate&sagittis=elementum&dui=nullam&vel=varius&nisl=nulla&duis=facilisi&ac=cras&nibh=non&fusce=velit&lacus=nec&purus=nisi&aliquet=vulputate&at=nonummy&feugiat=maecenas&non=tincidunt&pretium=lacus&quis=at&lectus=velit&suspendisse=vivamus&potenti=vel&in=nulla&eleifend=eget&quam=eros&a=elementum&odio=pellentesque&in=quisque&hac=porta&habitasse=volutpat&platea=erat&dictumst=quisque&maecenas=erat&ut=eros&massa=viverra&quis=eget&augue=congue&luctus=eget&tincidunt=semper&nulla=rutrum&mollis=nulla&molestie=nunc&lorem=purus&quisque=phasellus
93,23/05/2016,Zieme-Nader,Legal,NHPA,De-engineered contextually-based project,http://dummyimage.com/400x600.png/5fa2dd/ffffff,https://businessinsider.com/ligula/in/lacus/curabitur/at/ipsum.aspx?amet=ultrices&sapien=posuere&dignissim=cubilia&vestibulum=curae&vestibulum=mauris&ante=viverra&ipsum=diam&primis=vitae&in=quam&faucibus=suspendisse&orci=potenti&luctus=nullam&et=porttitor&ultrices=lacus&posuere=at&cubilia=turpis&curae=donec&nulla=posuere&dapibus=metus&dolor=vitae&vel=ipsum&est=aliquam&donec=non&odio=mauris&justo=morbi&sollicitudin=non&ut=lectus&suscipit=aliquam&a=sit&feugiat=amet&et=diam&eros=in&vestibulum=magna&ac=bibendum&est=imperdiet&lacinia=nullam&nisi=orci&venenatis=pede&tristique=venenatis&fusce=non&congue=sodales&diam=sed&id=tincidunt&ornare=eu&imperdiet=felis&sapien=fusce&urna=posuere&pretium=felis&nisl=sed&ut=lacus&volutpat=morbi&sapien=sem&arcu=mauris&sed=laoreet&augue=ut&aliquam=rhoncus&erat=aliquet&volutpat=pulvinar&in=sed&congue=nisl&etiam=nunc
94,22/10/2016,Glover-Leannon,Support,ADP HRB,Face to face value-added intranet,http://dummyimage.com/400x600.png/ff4444/ffffff,https://people.com.cn/ultrices/phasellus/id/sapien.png?et=dolor&ultrices=morbi&posuere=vel&cubilia=lectus&curae=in&nulla=quam&dapibus=fringilla&dolor=rhoncus&vel=mauris&est=enim&donec=leo&odio=rhoncus&justo=sed&sollicitudin=vestibulum&ut=sit&suscipit=amet&a=cursus&feugiat=id&et=turpis&eros=integer&vestibulum=aliquet&ac=massa&est=id&lacinia=lobortis&nisi=convallis&venenatis=tortor&tristique=risus&fusce=dapibus&congue=augue&diam=vel&id=accumsan&ornare=tellus&imperdiet=nisi&sapien=eu&urna=orci&pretium=mauris&nisl=lacinia&ut=sapien&volutpat=quis&sapien=libero&arcu=nullam&sed=sit&augue=amet&aliquam=turpis&erat=elementum&volutpat=ligula&in=vehicula&congue=consequat&etiam=morbi&justo=a&etiam=ipsum&pretium=integer&iaculis=a&justo=nibh&in=in&hac=quis&habitasse=justo&platea=maecenas&dictumst=rhoncus&etiam=aliquam&faucibus=lacus&cursus=morbi&urna=quis&ut=tortor&tellus=id&nulla=nulla&ut=ultrices&erat=aliquet&id=maecenas&mauris=leo&vulputate=odio&elementum=condimentum&nullam=id&varius=luctus&nulla=nec&facilisi=molestie&cras=sed&non=justo&velit=pellentesque&nec=viverra&nisi=pede&vulputate=ac&nonummy=diam&maecenas=cras&tincidunt=pellentesque
95,29/07/2016,"Hand, Hammes and Dickinson",Legal,XPDL,Robust client-server collaboration,http://dummyimage.com/400x600.png/ff4444/ffffff,https://illinois.edu/consectetuer/eget/rutrum/at/lorem.jsp?purus=nonummy&eu=maecenas&magna=tincidunt&vulputate=lacus&luctus=at
96,29/09/2016,Bode-Schiller,Training,Fly Tying,Fundamental 24 hour intranet,http://dummyimage.com/400x600.png/cc0000/ffffff,http://stumbleupon.com/tempus.jsp?sed=commodo&interdum=placerat&venenatis=praesent&turpis=blandit&enim=nam&blandit=nulla&mi=integer&in=pede&porttitor=justo&pede=lacinia&justo=eget&eu=tincidunt&massa=eget&donec=tempus&dapibus=vel&duis=pede&at=morbi&velit=porttitor&eu=lorem&est=id&congue=ligula&elementum=suspendisse&in=ornare&hac=consequat&habitasse=lectus&platea=in&dictumst=est&morbi=risus&vestibulum=auctor&velit=sed&id=tristique&pretium=in&iaculis=tempus&diam=sit&erat=amet&fermentum=sem&justo=fusce&nec=consequat&condimentum=nulla&neque=nisl&sapien=nunc&placerat=nisl&ante=duis&nulla=bibendum&justo=felis&aliquam=sed&quis=interdum&turpis=venenatis&eget=turpis&elit=enim&sodales=blandit&scelerisque=mi&mauris=in&sit=porttitor&amet=pede&eros=justo&suspendisse=eu&accumsan=massa&tortor=donec&quis=dapibus&turpis=duis&sed=at&ante=velit&vivamus=eu&tortor=est&duis=congue&mattis=elementum&egestas=in&metus=hac&aenean=habitasse&fermentum=platea&donec=dictumst&ut=morbi&mauris=vestibulum&eget=velit&massa=id&tempor=pretium&convallis=iaculis&nulla=diam&neque=erat&libero=fermentum&convallis=justo&eget=nec&eleifend=condimentum&luctus=neque&ultricies=sapien&eu=placerat&nibh=ante&quisque=nulla&id=justo&justo=aliquam&sit=quis&amet=turpis&sapien=eget&dignissim=elit
97,03/11/2016,Ward-Fisher,Product Management,NATO,Re-contextualized user-facing hardware,http://dummyimage.com/400x600.png/cc0000/ffffff,http://simplemachines.org/nullam/orci/pede/venenatis.jpg?libero=augue&ut=vestibulum&massa=rutrum&volutpat=rutrum&convallis=neque&morbi=aenean&odio=auctor&odio=gravida&elementum=sem&eu=praesent&interdum=id&eu=massa&tincidunt=id&in=nisl&leo=venenatis&maecenas=lacinia&pulvinar=aenean&lobortis=sit&est=amet&phasellus=justo&sit=morbi&amet=ut&erat=odio&nulla=cras&tempus=mi&vivamus=pede&in=malesuada&felis=in&eu=imperdiet&sapien=et&cursus=commodo&vestibulum=vulputate&proin=justo&eu=in&mi=blandit&nulla=ultrices&ac=enim&enim=lorem
98,16/06/2016,"Haley, Stark and Moore",Support,IOSH,Stand-alone intangible portal,http://dummyimage.com/400x600.png/5fa2dd/ffffff,https://timesonline.co.uk/pede/ac/diam/cras/pellentesque.jpg?odio=curabitur&cras=in&mi=libero&pede=ut&malesuada=massa&in=volutpat&imperdiet=convallis&et=morbi&commodo=odio&vulputate=odio&justo=elementum&in=eu&blandit=interdum&ultrices=eu&enim=tincidunt&lorem=in&ipsum=leo&dolor=maecenas&sit=pulvinar&amet=lobortis&consectetuer=est&adipiscing=phasellus&elit=sit&proin=amet&interdum=erat&mauris=nulla&non=tempus&ligula=vivamus&pellentesque=in&ultrices=felis&phasellus=eu&id=sapien&sapien=cursus&in=vestibulum&sapien=proin&iaculis=eu&congue=mi&vivamus=nulla&metus=ac&arcu=enim&adipiscing=in&molestie=tempor&hendrerit=turpis&at=nec&vulputate=euismod&vitae=scelerisque&nisl=quam&aenean=turpis&lectus=adipiscing&pellentesque=lorem&eget=vitae&nunc=mattis&donec=nibh&quis=ligula&orci=nec&eget=sem&orci=duis
99,31/08/2016,"Anderson, Bergnaum and Jenkins",Training,Gift Cards,Enterprise-wide upward-trending implementation,http://dummyimage.com/400x600.png/ff4444/ffffff,https://artisteer.com/consequat/varius.xml?in=eu&tempor=felis&turpis=fusce&nec=posuere&euismod=felis&scelerisque=sed&quam=lacus&turpis=morbi&adipiscing=sem&lorem=mauris&vitae=laoreet&mattis=ut&nibh=rhoncus&ligula=aliquet&nec=pulvinar&sem=sed&duis=nisl&aliquam=nunc&convallis=rhoncus&nunc=dui&proin=vel&at=sem&turpis=sed&a=sagittis&pede=nam&posuere=congue&nonummy=risus&integer=semper&non=porta&velit=volutpat&donec=quam&diam=pede&neque=lobortis&vestibulum=ligula&eget=sit&vulputate=amet&ut=eleifend&ultrices=pede&vel=libero&augue=quis&vestibulum=orci&ante=nullam&ipsum=molestie&primis=nibh&in=in&faucibus=lectus&orci=pellentesque&luctus=at&et=nulla&ultrices=suspendisse&posuere=potenti&cubilia=cras&curae=in&donec=purus&pharetra=eu&magna=magna&vestibulum=vulputate&aliquet=luctus&ultrices=cum&erat=sociis&tortor=natoque&sollicitudin=penatibus&mi=et&sit=magnis&amet=dis&lobortis=parturient&sapien=montes&sapien=nascetur&non=ridiculus&mi=mus&integer=vivamus&ac=vestibulum&neque=sagittis&duis=sapien&bibendum=cum&morbi=sociis&non=natoque&quam=penatibus&nec=et&dui=magnis&luctus=dis&rutrum=parturient&nulla=montes&tellus=nascetur&in=ridiculus&sagittis=mus&dui=etiam&vel=vel&nisl=augue&duis=vestibulum&ac=rutrum
100,15/03/2017,Ebert Inc,Support,Credit Analysis,Reverse-engineered secondary standardization,http://dummyimage.com/400x600.png/dddddd/000000,http://answers.com/velit/donec/diam/neque/vestibulum.xml?convallis=est&tortor=quam&risus=pharetra&dapibus=magna&augue=ac&vel=consequat&accumsan=metus&tellus=sapien&nisi=ut&eu=nunc&orci=vestibulum&mauris=ante&lacinia=ipsum&sapien=primis&quis=in&libero=faucibus&nullam=orci&sit=luctus&amet=et&turpis=ultrices&elementum=posuere&ligula=cubilia&vehicula=curae&consequat=mauris&morbi=viverra&a=diam&ipsum=vitae&integer=quam&a=suspendisse&nibh=potenti&in=nullam&quis=porttitor&justo=lacus&maecenas=at&rhoncus=turpis&aliquam=donec&lacus=posuere&morbi=metus&quis=vitae&tortor=ipsum&id=aliquam&nulla=non&ultrices=mauris&aliquet=morbi&maecenas=non&leo=lectus&odio=aliquam&condimentum=sit&id=amet&luctus=diam&nec=in&molestie=magna&sed=bibendum&justo=imperdiet&pellentesque=nullam&viverra=orci&pede=pede&ac=venenatis&diam=non&cras=sodales&pellentesque=sed&volutpat=tincidunt&dui=eu&maecenas=felis&tristique=fusce&est=posuere&et=felis&tempus=sed&semper=lacus&est=morbi&quam=sem&pharetra=mauris&magna=laoreet&ac=ut&consequat=rhoncus&metus=aliquet
